,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
85,광장동,127.102300918569,37.5484482562614,254.106987744468,1,107.252165527071,5,165.34216794924,7,155.554862071508,2,1,0,3
106,광장동,127.103442521936,37.5466493882023,91.5229458616752,1,84.7942844485415,6,27.9982585091998,9,202.695207936879,2,1,0,3
107,광장동,127.103437747037,37.5475507260216,151.661287347949,1,119.594094219792,7,75.1383583350382,10,215.423397121113,2,1,0,3
108,광장동,127.103432971925,37.5484520637025,212.023354612832,1,152.938333902993,6,133.55015609508,9,223.039760022,2,1,0,3
129,광장동,127.104574548244,37.546653184544894,143.967268145179,1,91.9575817238577,8,46.159111786805504,11,163.095179544783,2,1,0,3
199,광장동,127.107951745656,37.550269860863,590.923619448251,0,44.2360359434958,7,184.717722558053,6,301.383159766293,1,0,0,3
