시군명,사업장명,소재지우편번호,소재지도로명주소,소재지지번주소,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,WGS84위도,WGS84경도,구명,읍면동명,리계,나머지주소,도명
남양주시,빅토키즈,472847,경기도 남양주시 화도읍 수레로 1132 (2층일부),경기도 남양주시 화도읍 차산리 63-15 외2필지 2층일부,20140923,폐업,20220923,Y,604.12,,키즈카페,37.6382470326,127.3043227507,,화도읍,차산리,63-15 외2필지 2층일부,경기도
남양주시,방방놀이터키즈카페,472938,"경기도 남양주시 경춘로1256번길 10, 205호 (평내동,평내프라자)",경기도 남양주시 평내동 578-2 평내프라자 205호,20110518,폐업,20220315,Y,235.6,,키즈카페,37.6456553139,127.2347259018,,평내동,,578-2 평내프라자 205호,경기도
남양주시,펀앤펀 키즈카페,12262,"경기도 남양주시 경춘로 368 (다산동, 브릭스타워 205,206,207,208호)","경기도 남양주시 다산동 668-3번지 브릭스타워 205,206,207,208호",20130612,폐업,20171208,N,444.89,,키즈카페,37.6046291199,127.1556347239,,다산동,,"668-3번지 브릭스타워 205,206,207,208호",경기도
남양주시,점프노리사능점,472833,"경기도 남양주시 진건읍 사릉로 408-1, 4층",경기도 남양주시 진건읍 용정리 781-4번지 4층,20131217,폐업,20161209,N,387.52,,키즈카페,37.6565759475,127.1788741916,,진건읍,용정리,781-4번지 4층,경기도
남양주시,아빠랑엄마랑,472140,"경기도 남양주시 의안로 129-24, 5층 502호 (평내동, 평내동시티프라자)",경기도 남양주시 평내동 603-1번지 평내동씨티프라자 502호,20150804,폐업,20161116,N,159.9,,키즈카페,37.6433811734,127.23752244,,평내동,,603-1번지 평내동씨티프라자 502호,경기도
남양주시,키즈카페 잼잼,472845,"경기도 남양주시 화도읍 마석로45번길 35 (유일프라자2층,201호.202호.203호일부)","경기도 남양주시 화도읍 마석우리 588번지 유일프라자2층,201호202호203호일부",20130214,폐업,20180816,N,312.0,,키즈카페,37.6548551544,127.3021478341,,화도읍,마석우리,"588번지 유일프라자2층,201호202호203호일부",경기도
남양주시,미술로 키우다 카페,472120,"경기도 남양주시 천마산로 65, 202동 지하1층 1호 일부호 (호평동, 호평 파라곤)",경기도 남양주시 호평동 724 호평 파라곤 202동 지하1층 1호 일부,20190617,폐업,20220907,N,39.6,,키즈카페,37.6714916286,127.2488649589,,호평동,,724 호평 파라곤 202동 지하1층 1호 일부,경기도
남양주시,아이쪼아,472-861,경기도 남양주시 진접읍 해밀예당1로 50-88 (랜드타워 206호),경기도 남양주시 진접읍 금곡리 1082 랜드타워 206호 ,2014-02-13,폐업,2025-01-10,Y,589.67,,키즈카페,37.7125911684,127.1879247237,,진접읍,금곡리,1082 랜드타워 206호,경기도
동두천시,앤디네방(ANDY'S ROOM),483030,"경기도 동두천시 중앙로 165, 은혜빌딩 5층 (생연동)",경기도 동두천시 생연동 714-12 은혜빌딩,20180503,폐업,20210330,N,80.56,,키즈카페,37.896282721,127.0521096122,,생연동,,714-12 은혜빌딩,경기도
동두천시,토토빌키즈카페,483020,"경기도 동두천시 지행로 61, 501호 (지행동, 한승빌딩)",경기도 동두천시 지행동 695-1번지 한승빌딩 501호,20151211,폐업,20161116,N,222.43,,키즈카페,37.8926667488,127.0540194762,,지행동,,695-1번지 한승빌딩 501호,경기도
부천시,플랜디,14592,"경기도 부천시 조마루로 2, 부천체육문화센타 201호 일부 (상동)",경기도 부천시 상동 572-1 부천체육문화센타 201호 일부 ,2022-11-14,영업,,N,12.3,,키즈카페,37.4988667424,126.745384894,,상동,,572-1 부천체육문화센타 201호 일부,경기도
부천시,플랜디,14592,"경기도 부천시 원미구 조마루로 2, 부천체육문화센타 201호 일부 (상동)",경기도 부천시 원미구 상동 572-1 부천체육문화센타 201호 일부 ,2022-11-14,영업,,N,12.3,,키즈카페,37.4988667424,126.745384894,원미구,상동,,572-1 부천체육문화센타 201호 일부,경기도
부천시,샌드홀릭,14481,"경기도 부천시 원미구 수도로206번길 31-27, 101호 (도당동, 우성빌라)",경기도 부천시 원미구 도당동 56-5 우성빌라 101호,2018-03-27,영업,,N,102.22,,키즈카페,37.5188625965,126.7896331793,원미구,도당동,,56-5 우성빌라 101호,경기도
부천시,큐리프리미엄키즈카페,14504,"경기도 부천시 원미구 도약로 19, 동양프라자 3층 (상동)",경기도 부천시 원미구 상동 523-2 동양프라자 3층 ,2019-05-10,영업,,N,20.7,,키즈카페,37.5128310191,126.7514337126,원미구,상동,,523-2 동양프라자 3층,경기도
부천시,퍼센트(percent),14545,"경기도 부천시 원미구 송내대로 239, 부천터미널소풍 지하2층 D02호 (상동)",경기도 부천시 원미구 상동 539-1 부천터미널소풍 D02호,2019-08-07,영업,,N,34.14,,키즈카페,37.5041752477,126.7566905848,원미구,상동,,539-1 부천터미널소풍 D02호,경기도
부천시,아띠앙쥬부천상동점,14542,"경기도 부천시 원미구 길주로 137, 상록그린힐빌딩205호일부 (상동)",경기도 부천시 원미구 상동 538-4 상록그린힐빌딩205호일부 ,2018-07-19,영업,,N,70.11,,키즈카페,37.5061104112,126.7576896718,원미구,상동,,538-4 상록그린힐빌딩205호일부,경기도
부천시,노리파크 역곡점,14671,"경기도 부천시 원미구 역곡로13번길 49, 금강빌딩 4층 일부호 (역곡동)",경기도 부천시 원미구 역곡동 78 금강빌딩 4층일부호,2022-09-28,폐업,2024-08-19,N,23.85,,키즈카페,37.4854829438,126.8089293527,원미구,역곡동,,78 금강빌딩 4층일부호,경기도
부천시,푸드플레이그라운드,14592,"경기도 부천시 원미구 조마루로 2, 스포츠센타동 (상동, 부천체육문화센타 FA101호일부)",경기도 부천시 원미구 상동 572-1 부천체육문화센타 FA101호일부 스포츠센타동 ,2012-10-23,폐업,2018-10-08,N,450.93,,키즈카페,37.499869098,126.7442661118,원미구,상동,,572-1 부천체육문화센타 FA101호일부 스포츠센타동,경기도
부천시,차타타레이싱키즈카페옥길점,14789,"경기도 부천시 소사구 범안로 231-15, 6층 604호 일부호 (옥길동)",경기도 부천시 소사구 옥길동 777-2 604호,2019-12-26,폐업,2020-09-25,N,71.2,,키즈카페,37.4624324108,126.8130653042,소사구,옥길동,,777-2 604호,경기도
부천시,아이KiKi,14408,"경기도 부천시 오정구 역곡로 488, 한동빌딩 3층 (고강동)",경기도 부천시 오정구 고강동 349-1 한동빌딩 ,2019-06-14,폐업,2023-06-01,N,93.6,,키즈카페,37.5281418632,126.816345072,오정구,고강동,,349-1 한동빌딩,경기도
부천시,쭈퐁,14549,"경기도 부천시 원미구 신흥로 178 (중동, 위브더스테이트 상가3동 213호 일부)",경기도 부천시 원미구 중동 1109 위브더스테이트 상가3동 213호 일부 ,2014-02-28,폐업,2021-11-29,N,141.78,,키즈카페,37.4995373872,126.777688564,원미구,중동,,1109 위브더스테이트 상가3동 213호 일부,경기도
부천시,리틀이태리,14548,"경기도 부천시 원미구 중동로254번길 90 (중동, 부천시공영노외주차장(4호) 3층일부)",경기도 부천시 원미구 중동 1143-4 부천시공영노외주차장(4호) 3층일부 ,2010-03-19,폐업,2020-06-18,N,110.29,,키즈카페,37.501495818,126.7736873538,원미구,중동,,1143-4 부천시공영노외주차장(4호) 3층일부,경기도
