"시설id","등록일시","수정일시","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","행정동 코드","행정동명","x좌표값","y좌표값","우편번호","기본주소","상세주소","운영시작일","연락처","사용료무료여부","운영일","휴관일","이용정원(기관)","이용정원(개인)","신청가능연령","자치구코드배열"
"GJ241001","2024-10-14 11:15:23.0","2025-02-12 13:51:54.0","서울형키즈카페 시립 팔각당점","1011","서울형키즈카페","11215","광진구","3040046","능동","127.08247063367558","37.54985731539124","04991","서울특별시 광진구 능동로 216"," (능동)","2024-10-15","02-458-5583","N","월~일","없음","","","1세 ~ 8세",""
"GJ240903","2024-09-30 11:18:59.0","2025-02-11 14:40:25.0","서울형 키즈카페 자양4동 2호점(꾸미팡팡 놀이터)","1011","서울형키즈카페","11215","광진구","3040123","자양제4동","127.06964","37.53916","05073","서울특별시 광진구 능동로 87","3층 (자양동)","2024-10-22","02-6462-1239","N","화요일~일요일","월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","1세 ~ 6세",""
"GJ240902","2024-09-30 11:18:02.0","2025-02-11 14:35:59.0","서울형 키즈카페 자양4동 1호점(꾸미팡팡 놀이터)","1011","서울형키즈카페","11215","광진구","3040123","자양제4동","127.06964","37.53916","05073","서울특별시 광진구 능동로 87","3층 (자양동)","2024-10-22","02-6462-1235","N","화요일~일요일","월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","1세 ~ 6세",""
"GJ240401","2024-04-11 16:59:27.0","2025-02-20 17:21:59.0","서울형 키즈카페 시립 뚝섬자벌레점","1011","서울형키즈카페","11215","광진구","3040123","자양제4동","127.06541","37.53016","05089","서울특별시 광진구 강변북로 2202","2층 꿈틀나루 (자양동)","2024-05-17","02-498-4445","N","화~일","월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","0세 ~ 6세",""
"GJ230202","2023-02-28 10:18:05.0","2025-02-10 18:21:19.0","서울형 키즈카페 광진구 중곡3동점(꾸미팡팡 놀이터)","1011","서울형키즈카페","11215","광진구","3040044","중곡3동","127.08457341402034","37.565429205930194","04933","서울특별시 광진구 능동로 400","보건복지행정타운 별관 3층(중곡동)","2023-04-01","02-467-1827","N","화요일~일요일 09:00~18:00 ","월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","1세 ~ 6세",""
