,경도,위도,subway_최소거리(m),subway_idx,subway_idx_시설명,nearby_count,bus_최소거리(m),bus_idx,bus_idx_시설명,nearby_count,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,nearby_count,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,nearby_count,child_protection_최소거리(m),child_protection_idx,child_protection_idx_시설명,nearby_count,accident_최소거리(m),accident_idx,accident_idx_시설명,nearby_count,Unnamed: 0,행정동,경도,위도,주차장수,최소거리(m)
0,127.06163686284567,37.532981282470686,455.6740503891637,10,자양,1,268.75724470310416,92,영동대교북단,2,218.26335178724932,459,비에이치씨한강뚝섬3호점,13,218.26335178724932,459,비에이치씨한강뚝섬3호점,13,748.711382888814,28,인애유치원,0,664.9457120005483,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,29,자양4동,127.06163686284567,37.532981282470686,3.0,37.0
1,127.0616315871804,37.53388261757683,477.61064724379645,10,자양,1,211.14849047848904,92,영동대교북단,2,194.38147631761575,347,체리,17,194.38147631761575,347,체리,17,747.0633550064163,28,인애유치원,0,683.0988392377988,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,30,자양4동,127.0616315871804,37.53388261757683,7.0,48.0
2,127.06162103514492,37.535685287373504,539.446107126533,10,자양,0,105.9801239747523,92,영동대교북단,3,78.49650415014783,347,체리,22,78.49650415014783,347,체리,22,758.365996931095,28,인애유치원,0,733.1517190539616,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,32,자양4동,127.06162103514492,37.535685287373504,1.0,54.0
3,127.06161575877458,37.53658662206401,577.4246033598416,10,자양,0,74.34142829806945,92,영동대교북단,3,26.927457247607357,257,화이트,25,26.927457247607357,257,화이트,25,771.1027044397832,28,인애유치원,0,764.1515726490239,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,33,자양4동,127.06161575877458,37.53658662206401,1.0,35.0
4,127.0638847444376,37.53569366900274,366.8806417013925,10,자양,0,126.89111664625351,50,노룬산시장앞,7,42.413883830144734,5,본스치킨자양본점,29,42.413883830144734,5,본스치킨자양본점,29,511.52444412285314,28,인애유치원,0,525.3423787679778,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,60,자양4동,127.0638847444376,37.53569366900274,1.0,30.0
5,127.06504277345763,37.5311911659837,58.02473836316823,10,자양,1,318.531068814505,105,자양4동주민센터앞,1,200.98582265041873,459,비에이치씨한강뚝섬3호점,9,200.98582265041873,459,비에이치씨한강뚝섬3호점,9,408.17490655418214,28,인애유치원,0,268.7084846570733,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,73,자양4동,127.06504277345763,37.5311911659837,1.0,23.0
6,127.066122342929,37.54020868201338,341.7807893805409,5,건대입구,2,135.26174693113447,9,건대입구역6번출구,10,65.11574683329219,380,천수호프,119,65.11574683329219,380,천수호프,119,493.4301938827247,28,인애유치원,0,666.6573475130142,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,104,자양4동,127.066122342929,37.54020868201338,1.0,36.0
7,127.0673063479488,37.53119948118122,196.44447528514624,10,자양,1,164.59263541364572,105,자양4동주민센터앞,3,146.50731853983368,390,깐부치킨뚝섬유원지점,10,146.50731853983368,390,깐부치킨뚝섬유원지점,10,211.627931238935,28,인애유치원,0,48.02786124347496,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),1,117,자양3동,127.0673063479488,37.53119948118122,1.0,57.0
8,127.0683965812162,37.538414308172825,158.41230108560737,5,건대입구,2,148.18121282289528,53,대동아파트앞,10,24.429929853008797,295,미니호프,116,24.429929853008797,295,미니호프,116,306.74058402516584,28,인애유치원,0,541.3948853351447,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,151,자양4동,127.0683965812162,37.538414308172825,1.0,31.0
9,127.0695181143638,37.540221110023474,37.813814342965955,5,건대입구,2,104.53172534515137,5,건대로데오거리입구,8,41.95388304262413,33,생마차,116,41.95388304262413,33,생마차,116,375.45674351535644,15,신양초등학교,0,692.1831525455372,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,181,화양동,127.0695181143638,37.540221110023474,1.0,41.0
10,127.07061385398944,37.546534573605314,388.2767288711369,0,건대입구,1,135.41132937416657,19,광진광장,6,44.60072630495765,457,네네치킨화양건대점,81,44.60072630495765,457,네네치킨화양건대점,81,299.8967861028811,6,장안초등학교,0,1132.4974269707805,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,218,화양동,127.07061385398944,37.546534573605314,1.0,21.0
11,127.07175103018022,37.54563735028174,335.8101130739518,0,건대입구,1,151.15982344274585,19,광진광장,5,70.45964084172384,330,한명숙피자치킨,104,70.45964084172384,330,한명숙피자치킨,104,293.5703018989476,6,장안초등학교,0,1123.711929222212,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,251,화양동,127.07175103018022,37.54563735028174,1.0,61.0
12,127.0717458738827,37.54653868465781,338.9590771122105,7,어린이대공원(세종대),1,91.84738714370269,19,광진광장,6,37.03285066866799,400,수준이다른치킨,76,37.03285066866799,400,수준이다른치킨,76,235.61215586933733,6,장안초등학교,0,1178.3983240422124,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,252,화양동,127.0717458738827,37.54653868465781,1.0,33.0
13,127.07287275110784,37.54744411922857,202.38022425094127,7,어린이대공원(세종대),1,151.95097893755874,19,광진광장,6,29.877402982293503,14,베네치아,53,29.877402982293503,14,베네치아,53,171.41783755600986,6,장안초등학교,1,1288.2384789600576,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,289,화양동,127.07287275110784,37.54744411922857,1.0,44.0
