,경도,위도,subway_최소거리(m),subway_idx,subway_idx_시설명,subway_nearby_count,bus_최소거리(m),bus_idx,bus_idx_시설명,bus_nearby_count,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,bad_place_nearby_count,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,nearby_count,child_protection_최소거리(m),child_protection_idx,child_protection_idx_시설명,어린이보호구역_nearby_count,accident_최소거리(m),accident_idx,accident_idx_시설명,사고다발지역_nearby_count,Unnamed: 0,행정동,경도,위도,타일내주차장수,주차장최소거리(m)
0,127.06163686284600,37.532981282470700,455.6740503891640,10,자양,1,268.75724470310400,92,영동대교북단,2,218.26335178724900,459,비에이치씨한강뚝섬3호점,13,218.26335178724900,459,비에이치씨한강뚝섬3호점,13,748.711382888814,28,인애유치원,0,664.9457120005480,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,29,자양4동,127.06163686284600,37.532981282470700,3.0,37.0
1,127.0616315871800,37.53388261757680,477.61064724379600,10,자양,1,211.14849047848900,92,영동대교북단,2,194.38147631761600,347,체리,17,194.38147631761600,347,체리,17,747.0633550064160,28,인애유치원,0,683.0988392377990,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,30,자양4동,127.0616315871800,37.53388261757680,7.0,48.0
2,127.06162103514500,37.535685287373500,539.446107126533,10,자양,0,105.9801239747520,92,영동대교북단,3,78.49650415014780,347,체리,22,78.49650415014780,347,체리,22,758.365996931095,28,인애유치원,0,733.1517190539620,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,32,자양4동,127.06162103514500,37.535685287373500,1.0,54.0
3,127.06161575877500,37.53658662206400,577.4246033598420,10,자양,0,74.34142829806950,92,영동대교북단,3,26.927457247607400,257,화이트,25,26.927457247607400,257,화이트,25,771.1027044397830,28,인애유치원,0,764.1515726490240,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,33,자양4동,127.06161575877500,37.53658662206400,1.0,35.0
4,127.0638847444380,37.53569366900270,366.8806417013930,10,자양,0,126.89111664625400,50,노룬산시장앞,7,42.413883830144700,5,본스치킨자양본점,29,42.413883830144700,5,본스치킨자양본점,29,511.52444412285300,28,인애유치원,0,525.3423787679780,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,60,자양4동,127.0638847444380,37.53569366900270,1.0,30.0
5,127.06504277345800,37.5311911659837,58.02473836316820,10,자양,1,318.531068814505,105,자양4동주민센터앞,1,200.98582265041900,459,비에이치씨한강뚝섬3호점,9,200.98582265041900,459,비에이치씨한강뚝섬3호점,9,408.17490655418200,28,인애유치원,0,268.7084846570730,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,73,자양4동,127.06504277345800,37.5311911659837,1.0,23.0
6,127.066122342929,37.54020868201340,341.7807893805410,5,건대입구,2,135.26174693113400,9,건대입구역6번출구,10,65.11574683329220,380,천수호프,119,65.11574683329220,380,천수호프,119,493.4301938827250,28,인애유치원,0,666.6573475130140,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,104,자양4동,127.066122342929,37.54020868201340,1.0,36.0
7,127.0673063479490,37.53119948118120,196.44447528514600,10,자양,1,164.59263541364600,105,자양4동주민센터앞,3,146.50731853983400,390,깐부치킨뚝섬유원지점,10,146.50731853983400,390,깐부치킨뚝섬유원지점,10,211.627931238935,28,인애유치원,0,48.02786124347500,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),1,117,자양3동,127.0673063479490,37.53119948118120,1.0,57.0
8,127.0683965812160,37.538414308172800,158.41230108560700,5,건대입구,2,148.18121282289500,53,대동아파트앞,10,24.429929853008800,295,미니호프,116,24.429929853008800,295,미니호프,116,306.74058402516600,28,인애유치원,0,541.3948853351450,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,151,자양4동,127.0683965812160,37.538414308172800,1.0,31.0
9,127.0695181143640,37.540221110023500,37.813814342966000,5,건대입구,2,104.53172534515100,5,건대로데오거리입구,8,41.95388304262410,33,생마차,116,41.95388304262410,33,생마차,116,375.45674351535600,15,신양초등학교,0,692.1831525455370,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,181,화양동,127.0695181143640,37.540221110023500,1.0,41.0
10,127.07061385398900,37.546534573605300,388.2767288711370,0,건대입구,1,135.41132937416700,19,광진광장,6,44.60072630495770,457,네네치킨화양건대점,81,44.60072630495770,457,네네치킨화양건대점,81,299.8967861028810,6,장안초등학교,0,1132.4974269707800,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,218,화양동,127.07061385398900,37.546534573605300,1.0,21.0
11,127.07175103018000,37.54563735028170,335.8101130739520,0,건대입구,1,151.15982344274600,19,광진광장,5,70.45964084172380,330,한명숙피자치킨,104,70.45964084172380,330,한명숙피자치킨,104,293.5703018989480,6,장안초등학교,0,1123.711929222210,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,251,화양동,127.07175103018000,37.54563735028170,1.0,61.0
12,127.0717458738830,37.54653868465780,338.9590771122110,7,어린이대공원(세종대),1,91.84738714370270,19,광진광장,6,37.03285066866800,400,수준이다른치킨,76,37.03285066866800,400,수준이다른치킨,76,235.61215586933700,6,장안초등학교,0,1178.3983240422100,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,252,화양동,127.0717458738830,37.54653868465780,1.0,33.0
