,경도,위도,subway_최소거리(m),subway_idx,subway_idx_시설명,500m지하철역개수,bus_최소거리(m),bus_idx,bus_idx_시설명,500m버스정류장개수,badplace_최소거리(m),badplace_idx,badplace_idx_시설명,500m술집개수,child_protection_최소거리(m),child_protection_idx,child_protection_idx_시설명,300m보호구역개수,accident_최소거리(m),accident_idx,accident_idx_시설명,200m내위험구역개수,parking_최소거리(m),parking_idx,parking_idx_시설명,500내주차장개수,Unnamed: 0,행정동,center_lat,center_lon,주차장수,최소거리(m)
0,127.0571309287450,37.52935905105580,943.1056808712800,10,자양,0,658.1590954635840,92,영동대교북단,0,678.0691799077490,347,체리,0,1283.829239015530,28,인애유치원,0,1148.1331368407600,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,550.0872972872860,267,유료,0,0,자양4동,37.52935905105580,127.0571309287450,0.0,0.0
1,127.05826800233500,37.52846195433540,827.6117149588590,10,자양,0,636.4877940602080,92,영동대교북단,0,580.961544710935,459,비에이치씨한강뚝섬3호점,0,1178.1873955285900,28,인애유치원,0,1028.1757318609300,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,489.7453954947610,268,유료,0,1,자양4동,37.52846195433540,127.05826800233500,0.0,0.0
2,127.05826268699400,37.52936328972490,818.0407694385070,10,자양,0,584.1655863037480,92,영동대교북단,0,566.0332733945990,459,비에이치씨한강뚝섬3호점,1,1161.653602649540,28,인애유치원,0,1022.4446124845600,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,448.50833501694500,268,유료,0,2,자양4동,37.52936328972490,127.05826268699400,0.0,0.0
3,127.05825737141500,37.530264624975800,812.8680066905990,10,자양,0,533.5686610952170,92,영동대교북단,0,550.211772249281,347,체리,1,1148.0711173106500,28,인애유치원,0,1020.272075483950,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,412.0464966275660,268,유료,0,3,자양4동,37.530264624975800,127.05825737141500,0.0,0.0
4,127.05825205559900,37.53116596008820,812.1774635328870,10,자양,0,485.2370118377340,92,영동대교북단,0,504.33834707624600,347,체리,1,1137.545659111930,28,인애유치원,0,1021.6808194577100,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,381.0337882037000,267,유료,0,4,자양4동,37.53116596008820,127.05825205559900,0.0,0.0
5,127.05824673954700,37.53206729506210,815.9805159488170,10,자양,0,439.9178911054080,92,영동대교북단,0,461.8384485294850,347,체리,1,1130.162640982590,28,인애유치원,0,1026.6560992578500,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,357.53577945503100,267,유료,0,5,자양4동,37.53206729506210,127.05824673954700,0.0,0.0
6,127.05939974720300,37.52846618202240,704.6607145087720,10,자양,0,587.4148786839430,92,영동대교북단,0,462.473156756918,459,비에이치씨한강뚝섬3호점,1,1058.8730451401200,28,인애유치원,0,903.4336141366350,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,410.01145159377300,273,유료,0,6,자양4동,37.52846618202240,127.05939974720300,0.0,0.0
7,127.0593944454790,37.529367517548700,693.3101531373270,10,자양,0,530.1621914554620,92,영동대교북단,0,443.44358866108400,459,비에이치씨한강뚝섬3호점,1,1040.3878225213200,28,인애유치원,0,896.8400687327800,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,361.98917893574600,269,유료,0,7,자양4동,37.529367517548700,127.0593944454790,0.0,0.0
8,127.05938914351800,37.53026885293650,687.1139232936740,10,자양,0,473.71004384286100,92,영동대교북단,0,432.10755360191500,459,비에이치씨한강뚝섬3호점,1,1025.142109256170,28,인애유치원,0,894.2966947018390,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,315.93386216394800,268,유료,0,8,자양4동,37.53026885293650,127.05938914351800,0.0,0.0
9,127.0593838413210,37.53117018818570,686.21165977979,10,자양,0,418.38260348241100,92,영동대교북단,0,429.0752607799450,459,비에이치씨한강뚝섬3호점,1,1013.2821366740300,28,인애유치원,0,895.8379859007500,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,275.01654864343200,268,유료,0,9,자양4동,37.53117018818570,127.0593838413210,0.0,0.0
10,127.05937853888700,37.53207152329630,690.6241074440790,10,자양,0,364.69210995174500,92,영동대교북단,0,378.5966672708650,347,체리,1,1004.9277826240500,28,인애유치원,0,901.4429873314780,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,241.80662441592300,267,유료,10,10,자양4동,37.53207152329630,127.05937853888700,0.0,0.0
11,127.059373236218,37.53297285826850,700.2508014471470,10,자양,0,313.48077479490300,92,영동대교북단,1,330.8625928296660,347,체리,4,1000.1668948655000,28,인애유치원,0,911.0366949174560,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,219.80259599442400,267,유료,10,11,자양4동,37.53297285826850,127.059373236218,0.0,0.0
12,127.05936793331200,37.533874193102000,714.8811212083070,10,자양,0,266.1833583108890,92,영동대교북단,2,287.95530149754900,347,체리,7,999.0508447468600,28,인애유치원,0,924.4949384478190,3,서울특별시 광진구 자양동(동부간선도로-강변북로램프(6) 부근),0,213.23575628225000,267,유료,10,12,자양4동,37.533874193102000,127.05936793331200,0.0,0.0
