,Unnamed: 0,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부
1381,1381,중곡4동,127.097719417146,37.5583476165052,992.276371902557,0,291.262430605471,5,291.434049556942,1,309.521771718326,0,0,0
1382,1382,중곡4동,127.097714571293,37.559248951905,1020.49494380207,0,258.862504548558,5,345.813546633863,0,265.166843422917,2,0,0
1383,1383,중곡4동,127.097709725224,37.5601502871662,1051.44288407174,0,230.796526446766,5,401.95282191739,0,224.345629102601,4,0,0
1384,1384,중곡4동,127.097704878939,37.561051622289,1084.88663781449,0,200.291158512372,5,459.206909269664,0,193.689995332737,4,0,0
1385,1385,중곡4동,127.097700032438,37.5619529572733,1120.60276632113,0,185.180593325372,4,517.205710232199,0,178.641287605597,4,0,0
1386,1386,중곡4동,127.097695185721,37.5628542921191,1158.38109517106,0,189.19022903592,3,575.724195096383,0,181.352615680479,3,0,0
1387,1387,중곡4동,127.097690338788,37.5637556268264,1198.02655080275,0,211.234027264594,3,634.618614702566,0,202.954736054127,3,0,0
1388,1388,중곡4동,127.09768549164,37.5646569613952,1239.35996323595,0,246.52071094255,2,693.793234951076,0,238.365821583745,0,0,0
1389,1389,중곡4동,127.097680644275,37.5655582958256,1282.2181023538,0,290.260016104373,1,753.182012045415,0,282.438817251515,0,0,0
1390,1390,중곡4동,127.097675796694,37.5664596301174,1326.45318096206,0,339.19766596606,1,812.737996888399,0,331.73917602026,0,0,0
1391,1391,중곡4동,127.097670948898,37.5673609642708,1371.93201381804,0,391.38854621229,0,872.426943677709,0,384.260127240314,0,0,0
1392,1392,중곡4동,127.097666100885,37.5682622982856,1418.53497807098,0,445.69124258729,0,932.223309574511,0,438.846867566443,0,0,0
1393,1393,중곡4동,127.097661252657,37.569163632162,1466.15488129286,0,501.420102984365,0,992.107668756872,0,494.816186585054,0,0,0
1394,1394,중곡4동,127.097656404212,37.5700649658999,1510.42583492404,0,558.148095239317,0,1052.06499265422,0,551.747492633571,0,0,0
1395,1395,중곡4동,127.097651555552,37.5709662994993,1522.20179282932,0,615.599063991942,0,1112.08347719195,0,609.371215907803,0,0,0
1396,1396,중곡4동,127.097646706675,37.5718676329602,1536.27279128899,0,673.588040291628,0,1172.15372501613,0,667.508054031336,0,0,0
1397,1397,구의3동,127.099010962032,37.528607318745,649.685559822458,0,651.187490911045,0,610.18828900054,0,821.173848942318,0,0,0
1398,1398,구의3동,127.099006136914,37.5295086588385,610.336260394721,0,599.151781368786,0,551.707584992852,0,809.818518078167,0,0,0
1399,1399,구의3동,127.099001311582,37.5304099987936,574.678372803802,0,544.794820985279,0,493.719705625198,0,802.876652022065,0,0,0
1400,1400,구의3동,127.098996486035,37.5313113386102,543.439016948761,0,489.75287436505,0,436.42113541766895,0,800.46308025934,0,0,0
1401,1401,구의3동,127.098991660273,37.5322126782885,517.419118247668,1,436.16582075700495,0,380.123707156251,0,802.618651643067,0,0,0
1402,1402,구의3동,127.098986834296,37.5331140178282,497.4384009926,1,384.642206437019,0,325.347534012777,2,809.306854003742,0,0,0
1403,1403,구의3동,127.098982008104,37.53401535722951,484.24499580009,1,336.132241134787,3,273.009811417689,2,818.042404965762,0,0,0
1404,1404,구의3동,127.098977181697,37.5349166964924,478.400771014024,1,292.141039778393,4,224.820027404578,4,820.187706564558,0,0,0
1405,1405,구의3동,127.098972355075,37.5358180356168,480.174137452086,1,255.01790525769,5,184.065409341866,4,770.752865701578,0,0,0
1406,1406,구의3동,127.098967528238,37.5367193746028,489.482301958198,1,228.140554096092,6,156.660275650474,5,715.452447373041,0,1,0
1407,1407,구의3동,127.098962701186,37.5376207134503,505.909534315588,1,215.379485183631,6,150.103764530733,5,661.06844295403,0,1,0
1408,1408,구의3동,127.098957873918,37.5385220521594,528.792771767561,0,216.908601385305,6,146.322669231849,11,607.846871913724,0,1,0
1409,1409,광장동,127.098953046436,37.53942339073,557.337360913551,0,180.372131195438,7,89.2891972023057,13,556.121568526798,0,1,0
1410,1410,광장동,127.098948218739,37.5403247291622,590.723172352143,0,159.203236583616,6,43.1427068013284,13,506.351279625992,0,1,1
1411,1411,광장동,127.098943390827,37.5412260674559,583.275543567519,0,159.637182665116,7,55.4663413514542,13,459.17215959485,0,1,1
1412,1412,광장동,127.098938562699,37.5421274056111,557.931268217554,0,181.519086093725,6,99.0431885689965,11,415.46787425547507,0,1,1
1413,1413,광장동,127.098933734357,37.5430287436279,538.230061134549,1,187.382604413802,8,70.6756021564166,11,376.45060738693104,0,1,0
1414,1414,광장동,127.0989289058,37.5439300815063,524.807821919358,1,140.931510945674,9,86.6439574560468,9,343.720209175439,0,1,0
1415,1415,광장동,127.098924077027,37.5448314192461,518.152726536,1,109.258936831424,8,131.70402926034,9,319.216409301885,1,1,0
1416,1416,광장동,127.098919248039,37.5457327568476,518.525396848838,1,106.488065938939,6,185.772341517044,7,304.928934959534,1,1,0
1417,1417,광장동,127.098914418836,37.5466340943105,525.910887583594,1,134.41824191353,5,242.906163491156,6,302.30976608509,1,1,0
1418,1418,광장동,127.098909589418,37.547535431635,540.021541948397,1,179.22939559548,3,301.367001748439,6,311.653217696526,1,1,0
1419,1419,광장동,127.098904759785,37.548436768821,560.349528156431,0,231.310267595607,2,360.509852245081,2,331.950673930023,0,1,0
1420,1420,광장동,127.098899929937,37.5493381058686,586.248445401012,0,286.726435757267,2,420.04672357186,2,318.309738530694,0,1,0
1421,1421,광장동,127.098895099873,37.5502394427777,617.017178133579,0,343.869157812377,1,392.676349630845,0,269.287121106891,0,1,0
1422,1422,광장동,127.098890269595,37.5511407795483,651.966611943988,0,402.00283623803506,0,350.443034600628,1,225.912066824247,1,1,0
1423,1423,광장동,127.098885439101,37.552042116180495,690.462184999236,0,460.752527023378,1,314.248340610987,2,192.050016726517,1,1,0
1424,1424,구의2동,127.098880608392,37.5529434526742,731.944594789707,0,519.909438642538,2,286.391003763643,5,173.367784799127,1,1,0
1425,1425,구의2동,127.098875777468,37.5538447890294,775.934945800811,0,528.272717546681,2,269.46925081652,7,174.80216198647,2,1,0
1426,1426,구의2동,127.098870946328,37.5547461252461,822.030701371119,0,528.808074567854,1,265.581671274428,7,195.911776719939,2,1,0
