,사업장명,경도,위도
0,치킨뱅이,127.07870773370604,37.55649105520216
1,철길부산집 군자역점,127.08110478976201,37.55557775532551
2,감탄(중곡점),127.08192049348415,37.556809399342214
3,옥된장 구의점,127.08429548021263,37.53746903235997
4,그랑나랑,127.06705528830506,37.546659127785155
5,본스치킨자양본점,127.06399495887896,37.53629880591429
6,심야식당 히로,127.08933505487566,37.55327030074627
7,펀비어킹,127.06991250534998,37.540699431804825
8,더맛존바베큐,127.08466833207716,37.53780846944866
9,사오정,127.07685846642555,37.545466923301426
10,꽃돼지,127.08194652876482,37.57140156128569
11,역전할머니맥주서울구의점,127.08515623309333,37.53851401399971
12,마니아우동,127.07930407795511,37.56353243886117
13,빡순대국밥,127.06985835609774,37.540967222164
14,베네치아,127.073073770916,37.54714911961425
15,둘리호프,127.0797057530907,37.55803959548046
16,커피브라더 건대점,127.07614885710274,37.54539975227411
17,들꽃,127.07926405701933,37.56254975099077
18,흥부가기가막혀,127.07322128576645,37.547124977391036
19,작심가,127.0841567660133,37.5376902386515
20,노가리앤비어,127.07505828727392,37.531840326380156
21,투다리,127.07219581180507,37.55612908398898
22,뉴리안숯불닭바베큐,127.07804747008447,37.55700560139865
23,트레비,127.10753229024051,37.54705676913727
24,페리카나,127.08324218430063,37.56962453774634
25,처갓집양념치킨 중곡점,127.08863492552508,37.55742749570518
26,맥주하우스,127.08231349395652,37.567121052926844
27,수내닭꼬치 광진군자점,127.08132054983952,37.55579262688125
28,디오니스(강변점),127.09210640799874,37.5351258271279
29,마초떡볶이앤펍(PUB),127.07945257861348,37.531305637272965
30,투다리,127.08473636674475,37.53158006018197
31,엠비에프(MBF),127.08598257943109,37.56329262273393
32,옹녀,127.07920656064479,37.53159473586434
33,생마차,127.06948655051129,37.540844140390696
34,이자카나,127.06894882520614,37.54106526015537
35,맥스카나,127.07776489605024,37.53557809476302
36,노크건대직영점,127.06913896730674,37.54119474553478
37,바로마주,127.07939173761001,37.531929983093946
38,한술상,127.08477187155421,37.5393405316101
39,전주생막걸리,127.06281569063556,37.536616282990465
40,김복남맥주구의점,127.08619928575729,37.53816939864554
41,바스타,127.07024026320819,37.540927126585174
42,월드스토리,127.06894882520614,37.54106526015537
43,마실리아,127.0687925697745,37.54111795624802
44,마실리아,127.0687925697745,37.54111795624802
45,옥이네호프포차,127.06463606765321,37.536429286183626
46,페리카나치킨,127.1089641406909,37.54793348510487
47,자매식당,127.08175104252211,37.56295827985666
48,봉구비어,127.0777798862766,37.556880584327516
49,이서방치킨,127.08111855874908,37.56687504949442
50,인,127.09234602650379,37.53531947830349
51,랑데자뷰건대,127.0692021577463,37.54131256756638
52,깐부치킨광장점,127.10799629429252,37.54714789505455
53,방이옥 군자역점,127.07980354002734,37.556322054643914
54,청도호프,127.06606686496752,37.53720357496945
55,초원호프,127.08533370144943,37.53956042842548
56,펀비어킹,127.0766665782051,37.5572132991995
57,참존숯불바베큐치킨,127.08506784275724,37.539222727403796
58,낙원스낵,127.0673366739299,37.541808900108
59,크라운 호프,127.06655374199676,37.542077238800815
60,꿈의궁전,127.08124947187558,37.56624932978297
61,더 레드(THE RED),127.06846942934527,37.54144617238121
62,미나네호프집,127.0903764251891,37.5445551388578
63,아일랜드유끼,127.06777288616922,37.54167825716153
64,돈타령,127.0816630919982,37.5623230434502
65,둥지7080,127.0839379334655,37.53159697080975
66,삼삼치킨,127.08516922317136,37.538158881496095
67,네네치킨(중곡1점),127.08174774944727,37.56645044200956
68,부엉이산장 건대점,127.07056172547199,37.54163291709871
69,얼맥당 군자점,127.07838198237705,37.556643236208274
70,동촌,127.0650449391502,37.542607044742255
71,좋은사람들,127.08514428498202,37.53865524457072
72,육감만족아차산점,127.08990613925472,37.552587738758746
73,주하객잔(구의점),127.08811305471491,37.5388876113541
74,있잖아요호프,127.06792680157703,37.548523910857085
75,참나무로바베큐,127.08198493607122,37.56260854341845
76,화기애애,127.06967244224785,37.54177159646782
77,오술차건대점,127.06783031791255,37.54140844841534
78,반기돈,127.0711625798916,37.54258173677174
79,마쯔리,127.07061872377007,37.54222385062841
80,치맥&포차,127.07933879994233,37.531067611501086
81,별별포차,127.06821687394435,37.5415285704885
82,금별맥주 건대점,127.06890665048309,37.54127367317519
83,감로호프,127.08048878267402,37.55749308762337
84,엔조이락,127.09201536082197,37.551749112768285
85,대양참치,127.06955347746629,37.541055172866656
86,호세야구의점,127.09199328665393,37.540428334454525
87,한잔포차식당,127.08357454965966,37.571221734627755
88,아차산손두부,127.0933983365716,37.554640865008075
89,풀코스,127.07939222967875,37.531181041147015
90,이마트24세종대후문점,127.07409224124521,37.55394458795297
91,일일수작(건대점),127.06869010695237,37.54150989886497
92,한(韓),127.08149184757892,37.557113205508166
93,자양동포차,127.07505828727392,37.531840326380156
94,마당족발,127.07335731923713,37.54630169934759
95,솔트코크2,127.06933751285287,37.541130280556466
96,최가커피회관,127.07062121224327,37.543404656461036
97,참참치킨 구의점,127.0904013953022,37.544279787413565
98,을지로골뱅이,127.08029904423105,37.53274952430519
99,페리카나치킨,127.09184970323261,37.543690464852936
100,972,127.06922766583074,37.54140010611625
101,교촌치킨구의역점,127.0851185608835,37.53896807038355
102,교촌치킨,127.08051070497248,37.56267120346856
103,교촌치킨자양2호점,127.08203505446302,37.53464696230264
104,풀코스(자양6점),127.08443335848499,37.53143606540387
105,신세계,127.07777531409943,37.557112833941765
106,건대파티룸 공유주방 룸톤,127.06573201771822,37.543863208061936
107,풍성감자탕 신관,127.08401059569645,37.53729978423152
