lastmodts,dtlstatenm,totepnum,wmeipcnt,bplcnm,maneipcnt,isream,jtupsoasgnno,faciltotscp,jtupsomainedf,multusnupsoyn,clgenddt,sitearea,dcbymd,clgstdt,trdstategbn,trdstatenm,apvcancelymd,sitepostno,fctysiljobepcnt,opnsfteamcode,sitetel,fctypdtjobepcnt,sitewhladdr,dtlstategbn,rdnpostno,bdngownsenm,trdpjubnsenm,homepage,monam,fctyowkepcnt,updategbn,updatedt,apvpermymd,wtrsplyfacilsenm,lvsenm,uptaenm,hoffepcnt,rdnwhladdr,sntuptaenm,y,ropnymd,mgtno,x
2023-06-14 13:30:43,영업,0,0,W(더블유),0,0,,250.18,,Y,,250.18,,,01,영업/정상,,143-916,0,3040000,02 4663139,0,서울특별시 광진구 화양동 23-40 ,01,05007,,,,0,0,U,1686850800000,1979-04-18,,,카바레,0,서울특별시 광진구 동일로 166 (화양동),카바레,449404.744322513    ,,3040000-102-1979-06851,205855.639385187    
2020-04-07 19:26:03,영업,,0,슈퍼모델,0,,,120.14,,Y,,120.14,,,01,영업/정상,,143-130,,3040000,02 4639696,,"서울특별시 광진구 화양동 24-1번지 , 7 ",01,05013,,주택가주변,,,,U,1586367600000,1979-03-09,상수도전용,을,룸살롱,,"서울특별시 광진구 동일로 164 (화양동,, 7)",룸살롱,449386.206084012    ,,3040000-102-1979-06860,205839.749249664    
2019-05-22 10:58:34,폐업,,,한강관광호텔나이트클럽,,,,1871,,Y,,1871.00,2019-05-22,,03,폐업,,143-803,,3040000,02 4441178,,"서울특별시 광진구 광장동 188-2번지 1,2층 ",02,04969,,,,,,U,1558633200000,1980-09-17,,,관광호텔나이트(디스코),,서울특별시 광진구 아차산로78길 147 (광장동),관광호텔나이트(디스코),449468.709626347    ,,3040000-102-1980-06836,209602.113978282    
2020-04-07 19:26:53,영업,,,쉬리,,,,131.9,,Y,,131.90,,,01,영업/정상,,143-819,,3040000,02 4444039,,서울특별시 광진구 구의동 66-62번지 ,01,04977,,,,,,U,1586367600000,1980-07-12,,,스텐드바,,서울특별시 광진구 광나루로 529 (구의동),스텐드바,449212.187153261    ,,3040000-102-1980-06842,207748.736496653    
2022-12-28 10:26:11,영업,0,0,뮤즈노래바,0,0,,133.89,,Y,,133.89,,,01,영업/정상,,143-826,0,3040000,02 4468227,0,서울특별시 광진구 구의동 252-44 ,01,05043,,기타,,0,0,U,1672335600000,1980-05-16,상수도전용,기타,룸살롱,0,서울특별시 광진구 자양로 112 (구의동),룸살롱,448395.067457312    ,,3040000-102-1980-06847,207324.953590357    
2020-06-29 09:34:29,폐업,,,하트,,,,159.32,,Y,,159.32,2020-06-29,,03,폐업,,143-840,,3040000,02 4675058,,서울특별시 광진구 군자동 355-12 ,02,05003,,,,,,U,1593538800000,1980-04-08,,,룸살롱,,서울특별시 광진구 광나루로 345 (군자동),룸살롱,449587.738415801    ,,3040000-102-1980-06850,205969.435150896    
2002-05-28 00:00:00,폐업,,0,부산항,0,,,139.19,,N,,,2003-11-14,,03,폐업,,143-916,,3040000,02 4970649,,서울특별시 광진구 화양동 21-4번지 ,02,,,주택가주변,,,,I,1535727599000,1980-07-16,상수도전용,을,룸살롱,,,룸살롱,449529.700851672    ,,3040000-102-1980-06856,205972.304691027    
2002-06-20 00:00:00,폐업,,,퓨전,0,,,162.26,,N,,,1996-12-12,,03,폐업,,143-915,,3040000,02 4642423,,서울특별시 광진구 화양동 116-16번지 ,02,,,주택가주변,,,,I,1535727599000,1981-10-06,상수도전용,을,카바레,,,카바레,449502.39384526     ,,3040000-102-1981-06853,206188.473749485    
2023-12-26 09:26:56,영업,0,0,초콜렛,0,0,,151,,Y,,151.00,,,01,영업/정상,,143-840,0,3040000,02 499 7406,0,서울특별시 광진구 군자동 355-11 ,01,05003,,,,0,0,U,1703698800000,1981-10-29,,,룸살롱,0,서울특별시 광진구 광나루로 343 (군자동),룸살롱,449589.580004504    ,,3040000-102-1981-08506,205951.717000418    
2010-06-25 10:13:22,폐업,,,뜨락토마토,,,,1030.31,,N,,,2010-11-29,,03,폐업,,143-831,,3040000,02 4550070,,서울특별시 광진구 구의동 595-0번지 ,02,,,,,,,I,1535727599000,1991-04-29,,,룸살롱,,,룸살롱,447994.805558304    ,,3040000-102-1991-06838,208051.884671132    
2023-12-19 16:44:24,폐업,0,0,엘레강스,0,0,,33.5,,Y,,33.50,2023-12-19,,03,폐업,,143-831,0,3040000,02 4551100,0,서울특별시 광진구 구의동 595-0 ,02,05116,,기타,,0,0,U,1703094000000,1991-04-26,상수도전용,기타,비어(바)살롱,0,서울특별시 광진구 구의강변로 38 (구의동),비어(바)살롱,447994.805558304    ,,3040000-102-1991-06845,208051.884671132    
