,행정동,center_lat,center_lon,주차장수,최소거리(m)
0,자양4동,37.52935905105584,127.0571309287452,0.0,0.0
1,자양4동,37.52846195433536,127.05826800233535,0.0,0.0
2,자양4동,37.52936328972488,127.05826268699352,0.0,0.0
3,자양4동,37.530264624975835,127.05825737141488,0.0,0.0
4,자양4동,37.53116596008823,127.05825205559948,0.0,0.0
5,자양4동,37.53206729506207,127.05824673954726,0.0,0.0
6,자양4동,37.52846618202236,127.05939974720329,0.0,0.0
7,자양4동,37.529367517548685,127.0593944454786,0.0,0.0
8,자양4동,37.53026885293645,127.05938914351772,0.0,0.0
9,자양4동,37.53117018818566,127.0593838413207,0.0,0.0
10,자양4동,37.53207152329632,127.05937853888749,0.0,0.0
11,자양4동,37.53297285826846,127.059373236218,0.0,0.0
12,자양4동,37.533874193102015,127.05936793331236,0.0,0.0
13,자양4동,37.52756906306315,127.06053678017932,0.0,0.0
14,자양4동,37.52847039886447,127.06053149230738,0.0,0.0
15,자양4동,37.52937173452725,127.06052620419986,0.0,0.0
16,자양4동,37.53027307005147,127.06052091585678,0.0,0.0
17,자양4동,37.53117440543717,127.06051562727814,0.0,0.0
18,자양4동,37.5320757406843,127.06051033846389,0.0,0.0
19,자양4동,37.53297707579288,127.06050504941403,0.0,0.0
20,자양4동,37.53387841076293,127.0604997601286,0.0,0.0
21,자양4동,37.534779745594406,127.06049447060752,0.0,0.0
22,자양4동,37.535681080287326,127.0604891808508,0.0,0.0
23,자양4동,37.52757326892427,127.06166851190238,0.0,0.0
24,자양4동,37.52847460486171,127.061663237647,0.0,0.0
25,자양4동,37.529375940660586,127.06165796315668,0.0,0.0
26,자양4동,37.53027727632092,127.0616526884314,0.0,0.0
27,자양4동,37.53117861184272,127.06164741347112,0.0,0.0
28,자양4동,37.532079947225974,127.0616421382759,0.0,0.0
29,자양4동,37.532981282470686,127.06163686284567,3.0,37.0
30,자양4동,37.53388261757683,127.0616315871804,7.0,48.0
31,자양4동,37.53478395254445,127.06162631128018,0.0,0.0
32,자양4동,37.535685287373504,127.06162103514492,1.0,54.0
33,자양4동,37.53658662206401,127.06161575877458,1.0,35.0
34,자양4동,37.537487956615976,127.06161048216926,0.0,0.0
35,자양4동,37.52667612772915,127.06280550426484,0.0,0.0
36,자양4동,37.52757746394086,127.06280024386037,0.0,0.0
37,자양4동,37.52847880001405,127.06279498322158,0.0,0.0
38,자양4동,37.529380135948685,127.06278972234844,0.0,0.0
39,자양4동,37.53028147174477,127.06278446124097,0.0,0.0
40,자양4동,37.53118280740233,127.06277919989913,0.0,0.0
41,자양4동,37.53208414292134,127.0627739383229,0.0,0.0
42,자양4동,37.532985478301825,127.06276867651228,0.0,0.0
43,자양4동,37.53388681354376,127.06276341446728,0.0,0.0
44,자양4동,37.53478814864715,127.06275815218788,0.0,0.0
45,자양4동,37.53568948361198,127.06275288967404,0.0,0.0
46,자양4동,37.53659081843827,127.06274762692578,0.0,0.0
47,자양4동,37.53749215312602,127.06274236394307,0.0,0.0
48,자양4동,37.538393487675194,127.06273710072593,0.0,0.0
49,자양4동,37.53929482208584,127.0627318372743,0.0,0.0
50,자양4동,37.52668031176578,127.0639372228412,0.0,0.0
51,자양4동,37.5275816481129,127.06393197605271,0.0,0.0
52,자양4동,37.528482984321485,127.06392672903053,0.0,0.0
53,자양4동,37.52938432039152,127.0639214817746,0.0,0.0
54,자양4동,37.53028565632304,127.06391623428492,0.0,0.0
55,자양4동,37.531186992116005,127.0639109865615,0.0,0.0
56,자양4동,37.532088327770424,127.06390573860428,0.0,0.0
57,자양4동,37.53298966328633,127.06390049041332,0.0,0.0
58,자양4동,37.53389099866368,127.06389524198856,0.0,0.0
59,자양4동,37.53479233390249,127.06388999333,0.0,0.0
60,자양4동,37.53569366900274,127.0638847444376,1.0,30.0
61,자양4동,37.53659500396447,127.0638794953114,0.0,0.0
62,자양4동,37.537496338787655,127.06387424595135,0.0,0.0
63,자양4동,37.538397673472275,127.0638689963575,0.0,0.0
64,자양4동,37.53929900801836,127.06386374652972,0.0,0.0
