,행정동,경도,위도,subway_최소거리(m),500m지하철역개수,bus_최소거리(m),500m버스정류장개수,badplace_최소거리(m),500m술집개수,parking_최소거리(m),500내주차장개수,300m보호구역여부,200m위험구역여부,cluster
112,자양2동,127.086536816723,37.5330710851684,277.646671379479,1,54.8389941513619,7,162.419955568482,22,54.6326191338299,2,1,0,2
125,자양2동,127.087668635406,37.5330750423715,332.01806372153,1,71.4418952377972,9,283.446278762874,16,178.2587460461,2,1,0,2
151,자양2동,127.089932273435,37.5330829242375,521.326468414334,1,97.7635480271898,6,208.770846455791,10,159.323213547243,34,1,0,2
152,자양2동,127.089927338279,37.53398426263271,492.447562722762,2,91.6115871050141,11,158.201385582046,9,160.664820930901,24,1,0,2
159,자양2동,127.091069014096,37.5321855102396,447.023624127312,1,194.952751330512,5,103.059654527689,8,69.546626021896,34,1,0,2
160,자양2동,127.09106409278,37.5330868489003,424.607551764292,1,149.111936924784,7,92.3789608775264,8,41.557346059564495,34,1,0,2
