k-아파트명,"k-단지분류(아파트,주상복합등등)",kapt도로명주소,주소(읍면동),주소(도로명),k-전체세대수,경도,위도
현대홈타운12차,아파트,서울특별시 광진구 천호대로 808,광장동,천호대로,119,127.1028077,37.54507847
강변에스케이뷰,아파트,서울특별시 광진구 아차산로 431,구의동,아차산로,197,127.0901599,37.53865498
래미안 프리미어 팰리스,아파트,서울특별시 광진구 아차산로 345,자양동,아차산로,264,127.0813716,37.538006
상록타워 아파트,아파트,서울특별시 광진구 아차산로 540,광장동,아차산로,200,127.1009429,37.5424331
래미안 구의 파크스위트 아파트,아파트,서울특별시 광진구 광나루로 545,구의동,광나루로,854,127.0906449,37.54504449
아스하임4차,도시형 생활주택(주상복합),서울특별시 광진구 광나루로 382,화양동,광나루로,162,127.0720839,37.54746452
광장자이아파트,,서울특별시 광진구 광나루로 595,광장동,광나루로,122,127.095002,37.542673
구의세양아파트,아파트,서울특별시 광진구 구의강변로 84,구의동,구의강변로,130,127.094011,37.537557
자양호반써밋아파트,아파트,서울특별시 광진구 능동로 69,자양동,능동로,305,127.0682832,37.5376553
광진그랜드파크,아파트,서울특별시 광진구 광나루로 458,구의동,광나루로,730,127.0757555,37.544273
리마크빌 군자,,서울특별시 광진구 천호대로 517,중곡동,천호대로,299,127.076186,37.55878494
자양하늘채베르,아파트,서울특별시 광진구 자양로 55,자양동,자양로,165,127.0846261,37.5328319
롯데캐슬 리버파크 시그니처 아파트,아파트,서울특별시 광진구 뚝섬로 467,자양동,뚝섬로,878,127.0627946,37.5378925
어울채행복주택,아파트,,자양동,,300,127.088713,37.5354016
