법정동코드,주소,새주소-도로명,일반인이용,경도,위도,법정동명
10200,서울특별시 광진구 능동 223-2 명성빌딩,능동로36길,일반인 개방,127.079957,37.555984,능동
10200,서울특별시 광진구 능동 223-1,능동로36길,일반인 개방,127.079851,37.556092,능동
10200,서울특별시 광진구 능동 223-45,천호대로110길,일반인 개방,127.079776,37.55599,능동
10200,서울특별시 광진구 능동 279-1,능동로36길,일반인 개방,127.079525,37.556194,능동
10200,서울특별시 광진구 능동 279-2,능동로,일반인 개방,127.079337,37.55623,능동
10200,서울특별시 광진구 능동 279-3 호안빌딩,능동로,일반인 개방,127.07924,37.556042,능동
10200,서울특별시 광진구 능동 282-2,능동로,일반인 개방,127.078609,37.554938,능동
10200,서울특별시 광진구 능동 225-26,능동로32길,일반인 개방,127.078832,37.555257,능동
10200,서울특별시 광진구 능동 225-30,천호대로110길,일반인 개방,127.079062,37.555147,능동
10200,서울특별시 광진구 능동 225-31,천호대로110길,일반인 개방,127.079029,37.555044,능동
10200,서울특별시 광진구 능동 225-32,천호대로110길,일반인 개방,127.078973,37.554952,능동
10200,서울특별시 광진구 능동 225-2,천호대로110길,일반인 개방,127.078893,37.55485,능동
10200,서울특별시 광진구 능동 235-35,능동로36길,일반인 개방,127.081725,37.555223,능동
10200,서울특별시 광진구 능동 235-36,능동로36길,일반인 개방,127.081792,37.555328,능동
10200,서울특별시 광진구 능동 235-32,능동로36길,일반인 개방,127.081931,37.555303,능동
10200,서울특별시 광진구 능동 235-34,능동로36길,일반인 개방,127.081839,37.555151,능동
10200,서울특별시 광진구 능동 235-30,능동로36길,일반인 개방,127.081987,37.555083,능동
10200,서울특별시 광진구 능동 235-29,능동로36길,일반인 개방,127.082028,37.555162,능동
10200,서울특별시 광진구 능동 236-22,능동로36길,일반인 개방,127.082132,37.555415,능동
10200,서울특별시 광진구 능동 235-21,능동로36길,일반인 개방,127.082477,37.555067,능동
10200,서울특별시 광진구 능동 225-3,천호대로110길,일반인 개방,127.078771,37.554733,능동
