,법정동,총인구수,0~4세,5~9세,0~9세,실내놀이터,세대당인구,0~4세비율,5~9세비율,0~9세비율,실내놀이터당아동
0,광장동,33971,660,1716,2376,1,2.87,0.019428335933590415,0.05051367342733508,0.0699420093609255,2376.0
1,구의동,76577,1533,2106,3639,4,2.1033333333333335,0.02001906577693041,0.02750173028455019,0.0475207960614806,909.75
2,군자동,19070,318,396,714,1,1.69,0.016675406397482957,0.02076560041950708,0.03744100681699004,714.0
3,능동,11097,220,229,449,1,1.71,0.01982517797602956,0.020636207984139857,0.04046138596016941,449.0
4,자양동,92565,1992,2517,4509,5,2.0700000000000003,0.02152001296386323,0.027191703127532003,0.048711716091395234,901.8
5,중곡동,79081,1292,1558,2850,5,1.915,0.016337679088529483,0.019701318900873788,0.03603899798940327,570.0
6,화양동,23193,164,162,326,0,1.28,0.007071099038502997,0.006984866123399301,0.014055965161902297,0.0
