center_lat,center_lon,주차장수,주차장정보
37.52372464230832,127.05688131259404,0.0,[]
37.52417531029836,127.05687864706553,0.0,[]
37.524625978253745,127.05687598147765,0.0,[]
37.52507664617449,127.05687331583039,0.0,[]
37.525527314060604,127.05687065012377,0.0,[]
37.52597798191207,127.0568679843578,0.0,[]
37.52642864972892,127.0568653185324,0.0,[]
37.52687931751112,127.05686265264768,0.0,[]
37.52732998525865,127.05685998670356,0.0,[]
37.52778065297158,127.05685732070006,0.0,[]
37.52823132064986,127.05685465463718,0.0,[]
37.5286819882935,127.05685198851492,0.0,[]
37.52913265590251,127.05684932233328,0.0,[]
37.52958332347687,127.05684665609226,0.0,[]
37.530033991016595,127.05684398979187,0.0,[]
37.53048465852169,127.05684132343207,0.0,[]
37.53093532599214,127.05683865701286,0.0,[]
37.53138599342793,127.05683599053431,0.0,[]
37.53183666082911,127.05683332399634,0.0,[]
37.532287328195636,127.05683065739899,0.0,[]
37.532737995527526,127.05682799074224,0.0,[]
37.53318866282477,127.05682532402611,0.0,[]
37.533639330087375,127.05682265725055,0.0,[]
37.53408999731533,127.05681999041562,0.0,[]
37.53454066450866,127.05681732352129,0.0,[]
37.53499133166735,127.05681465656754,0.0,[]
37.535441998791384,127.05681198955439,0.0,[]
37.535892665880795,127.05680932248187,0.0,[]
37.53634333293555,127.05680665534993,0.0,[]
37.53679399995568,127.05680398815858,0.0,[]
37.53724466694115,127.05680132090782,0.0,[]
37.53769533389199,127.05679865359765,0.0,[]
37.538146000808176,127.05679598622808,0.0,[]
37.53859666768974,127.05679331879908,0.0,[]
37.53904733453664,127.05679065131066,0.0,[]
37.53949800134891,127.05678798376287,0.0,[]
37.53994866812653,127.05678531615563,0.0,[]
37.540399334869505,127.05678264848898,0.0,[]
37.54085000157785,127.05677998076291,0.0,[]
37.54130066825155,127.05677731297743,0.0,[]
37.541751334890606,127.05677464513252,0.0,[]
37.54220200149501,127.0567719772282,0.0,[]
37.54265266806477,127.05676930926445,0.0,[]
37.5431033345999,127.05676664124124,0.0,[]
37.543554001100375,127.05676397315865,0.0,[]
37.54400466756622,127.05676130501662,0.0,[]
37.5444553339974,127.05675863681515,0.0,[]
37.54490600039396,127.05675596855424,0.0,[]
37.54535666675586,127.05675330023392,0.0,[]
37.54580733308312,127.05675063185414,0.0,[]
37.54625799937573,127.05674796341495,0.0,[]
37.54670866563371,127.05674529491631,0.0,[]
37.54715933185703,127.05674262635824,0.0,[]
37.54760999804571,127.05673995774073,0.0,[]
37.54806066419976,127.05673728906378,0.0,[]
37.548511330319144,127.05673462032739,0.0,[]
37.54896199640388,127.05673195153155,0.0,[]
37.54941266245399,127.05672928267626,0.0,[]
37.54986332846944,127.05672661376153,0.0,[]
37.55031399445025,127.05672394478734,0.0,[]
37.5507646603964,127.05672127575373,0.0,[]
37.55121532630792,127.05671860666064,0.0,[]
37.551665992184795,127.0567159375081,0.0,[]
37.55211665802702,127.05671326829611,0.0,[]
37.55256732383459,127.05671059902468,0.0,[]
37.553017989607525,127.05670792969379,0.0,[]
37.553468655345796,127.05670526030342,0.0,[]
37.55391932104945,127.05670259085362,0.0,[]
37.55436998671843,127.05669992134433,0.0,[]
37.554820652352774,127.05669725177562,0.0,[]
37.555271317952474,127.0566945821474,0.0,[]
37.555721983517515,127.05669191245971,0.0,[]
37.556172649047916,127.05668924271261,0.0,[]
37.55662331454367,127.05668657290602,0.0,[]
37.55707398000477,127.05668390303995,0.0,[]
37.55752464543122,127.05668123311442,0.0,[]
37.55797531082303,127.0566785631294,0.0,[]
37.55842597618019,127.05667589308491,0.0,[]
37.55887664150271,127.05667322298096,0.0,[]
37.55932730679057,127.05667055281752,0.0,[]
37.55977797204377,127.05666788259462,0.0,[]
37.56022863726234,127.05666521231223,0.0,[]
37.56067930244625,127.05666254197038,0.0,[]
37.56112996759553,127.05665987156904,0.0,[]
37.561580632710125,127.05665720110818,0.0,[]
37.5620312977901,127.05665453058788,0.0,[]
37.56248196283541,127.05665186000806,0.0,[]
37.56293262784609,127.05664918936877,0.0,[]
37.563383292822095,127.05664651867001,0.0,[]
37.563833957763464,127.05664384791173,0.0,[]
37.564284622670186,127.05664117709395,0.0,[]
37.564735287542256,127.0566385062167,0.0,[]
37.565185952379665,127.05663583527998,0.0,[]
37.56563661718242,127.05663316428372,0.0,[]
37.566087281950544,127.056630493228,0.0,[]
37.56653794668401,127.05662782211276,0.0,[]
37.56698861138283,127.056625150938,0.0,[]
37.56743927604697,127.05662247970379,0.0,[]
37.56788994067648,127.05661980841003,0.0,[]
37.568340605271345,127.05661713705679,0.0,[]
37.56879126983155,127.05661446564403,0.0,[]
37.5692419343571,127.05661179417177,0.0,[]
37.56969259884801,127.05660912264001,0.0,[]
37.57014326330425,127.05660645104876,0.0,[]
37.57059392772584,127.05660377939796,0.0,[]
37.57104459211279,127.05660110768765,0.0,[]
37.571495256465084,127.05659843591786,0.0,[]
37.571945920782724,127.05659576408853,0.0,[]
37.5723965850657,127.05659309219968,0.0,[]
37.57284724931403,127.05659042025131,0.0,[]
37.573297913527725,127.05658774824343,0.0,[]
37.523726763925,127.0574471491103,0.0,[]
37.52417743194934,127.05744448698525,0.0,[]
37.52462809993908,127.0574418248009,0.0,[]
37.52507876789414,127.05743916255724,0.0,[]
37.52552943581459,127.05743650025428,0.0,[]
37.525980103700405,127.05743383789205,0.0,[]
37.52643077155157,127.05743117547051,0.0,[]
37.52688143936809,127.05742851298967,0.0,[]
37.527332107149974,127.05742585044953,0.0,[]
