역명,X좌표,Y좌표,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
광진경찰서,127.0841928022,37.5422770454,245,599,44,119,11,22,0,0,521,206,1197,723,2802,1556,5949,6640,8281,8576,5089,3227,3547,2601,3305,2401,3592,2561,3513,2677,3764,2727,5400,3061,8171,3461,4557,3916,4158,4547,2551,3668,1867,2639,1837,2533,1587,2486,670,1247
광진경찰서앞,127.0843546327,37.542346877,0,0,0,0,0,0,0,0,0,0,0,0,145,145,391,820,640,567,561,364,513,354,600,308,591,362,543,436,561,445,2161,564,2700,606,859,714,683,949,436,1012,391,655,418,709,336,686,126,450
광진광장,127.07153099675,37.547860161399996,599,981,56,102,0,0,0,0,49,113,637,457,1423,961,4113,1452,5115,2050,3833,2008,2133,1802,2223,1778,2563,1889,2602,1977,2677,2201,2678,2706,2797,2900,2778,3139,3280,4164,2501,3739,2120,2716,1867,2625,2019,3025,1349,2017
광진구청,127.08329827815001,37.53886381535,857,881,122,169,32,26,0,0,461,319,1081,1019,2223,2330,4084,4944,6265,10976,4945,5623,4418,4497,4491,4011,4417,4519,5020,4800,4983,4752,5478,5295,6036,5848,6833,6371,10514,7388,5767,5885,4751,4560,5065,4279,4470,3910,2408,1963
광진문화예술회관,127.0701692006,37.5385652456,208,119,9,14,0,0,0,0,148,48,252,274,855,1371,1756,4519,3026,5631,2268,3018,1732,1914,1933,1735,2271,1813,2889,1874,2987,1838,3611,1787,3860,2107,4700,2366,6257,2435,5627,1866,4663,1331,4273,1000,4099,859,2400,470
광진우체국,127.090409,37.537998,0,43,0,0,0,0,0,0,8,16,4,81,39,263,137,541,160,1011,230,785,171,615,194,559,231,622,197,647,247,596,251,762,430,1015,305,664,375,638,180,516,108,381,123,357,89,274,36,161
구.새마을금고앞,127.0871709238,37.5614417271,0,0,0,0,0,0,0,0,0,0,66,0,217,2,403,6,510,8,281,14,215,14,167,10,166,8,140,15,161,9,205,26,361,11,158,10,182,7,148,8,65,6,86,1,75,1,13,1
구의2동주민센터입구,127.08968527385,37.54894662665,207,511,52,109,8,11,0,0,470,212,923,616,1361,1146,3872,2087,4151,3435,2190,2252,1403,1869,1470,1881,1580,2040,1700,2086,1452,2026,1541,2509,1859,3143,2031,3339,2074,4368,1477,3275,1181,2350,990,2182,836,2197,443,1230
구의3동주민센터,127.09208742333334,37.53870912113333,199,237,35,24,0,0,0,0,0,0,111,45,211,236,467,512,701,772,602,563,443,367,482,377,490,405,544,529,470,482,506,476,528,680,564,754,707,861,537,735,432,529,522,549,618,425,359,378
구의사거리,127.08604751985001,37.54573422555,137,360,32,91,5,14,0,0,226,77,546,344,1182,1131,3221,3004,3429,4951,2560,2296,1978,1877,2002,1952,2157,1946,2192,2177,2289,2151,2698,2347,2847,2724,3176,3023,3376,3639,2005,2927,1412,2190,1245,2105,1062,2040,432,1153
구의사거리.광진소방서앞,127.0841400142,37.54512411575,66,359,1,8,0,0,0,0,6,3,198,125,414,407,1028,917,1628,1874,1062,1071,729,764,691,802,701,816,735,931,793,1056,1431,1013,1048,1131,917,1241,999,1723,662,1306,459,960,384,1087,330,1131,169,564
구의아크로리버앞,127.0921362577,37.5352926857,0,0,0,0,0,0,0,0,0,0,0,0,14,253,79,557,55,1204,40,679,33,380,19,316,24,435,38,419,60,386,73,451,133,552,158,463,214,518,108,411,54,383,31,310,21,286,11,136
구의역,127.08916494985,37.53825732205,0,0,0,0,0,0,0,0,0,0,0,0,120,374,370,1427,794,2381,370,1211,296,679,307,595,425,631,429,619,466,605,442,591,553,702,755,792,1253,879,944,557,612,397,655,270,669,206,358,69
구의역1번출구,127.084788302,37.5369298571,0,0,0,0,0,0,0,0,0,0,0,0,623,81,1297,122,1559,246,1255,188,1226,235,1427,191,1555,176,1798,182,1987,199,2599,202,2669,274,3168,297,4285,261,3689,268,3156,205,3159,187,3456,153,1610,62
구의역2번출구,127.0879772581,37.5377026867,139,140,11,26,0,0,0,0,56,13,251,48,433,286,915,698,988,912,853,599,826,462,834,391,1050,396,1067,407,1181,397,1348,352,1611,362,1811,537,2463,584,1949,439,1617,329,1600,295,1631,306,809,125
구의역3번출구,127.0882893582,37.5375186301,15,34,0,0,0,0,0,0,0,50,53,198,46,407,145,551,253,944,136,714,130,547,112,556,150,683,177,644,189,621,235,796,310,892,370,1019,680,1343,481,899,346,744,279,706,416,685,388,534
구의역4번출구,127.084837057,37.5366543055,0,0,0,0,0,0,0,0,0,0,0,0,70,2744,48,5114,106,7127,117,5290,122,3467,127,2290,158,2507,172,2755,179,2087,222,2106,294,2187,299,2338,454,2592,278,1545,179,1063,210,710,164,567,65,87
구의홈마트앞,127.08964380125,37.540304701050005,0,0,0,0,0,0,0,0,0,0,0,0,55,87,202,389,220,447,168,314,152,182,119,201,98,186,87,204,101,211,109,221,140,290,102,301,121,305,86,301,78,213,53,170,63,180,9,93
국민은행신자양지점,127.06703816095,37.53565062005,120,268,1,11,0,0,0,0,513,71,782,363,785,536,1664,590,2064,917,1968,867,1498,920,1228,958,1245,971,1332,1214,1378,1342,1440,1378,1364,1712,1339,1809,1566,2186,1177,1846,1093,1421,892,1283,807,1161,348,744
국민은행자양지점,127.07913436485,37.5321319679,1,4,0,0,0,0,0,0,0,0,0,0,496,94,1247,179,1896,611,1267,432,958,426,782,467,924,692,867,716,779,827,711,1053,865,1055,870,1321,914,1832,661,1610,475,1265,422,1169,310,1076,142,695
군자교,127.07521586530001,37.5619595163,415,664,397,405,167,186,168,120,237,90,666,241,465,287,583,254,676,559,418,280,340,245,348,261,343,266,472,326,368,410,349,495,474,609,551,680,630,709,565,776,352,598,328,585,285,669,230,553
군자교남단,127.0726146948,37.557474063300006,2,21,0,0,0,0,0,0,0,0,57,83,35,109,156,201,272,423,131,225,118,137,71,154,115,191,113,180,89,130,88,194,57,207,66,197,165,318,75,222,44,166,42,175,24,120,17,64
군자교입구,127.07527321284999,37.558767356299995,1254,1662,300,769,98,275,90,257,651,432,2399,2408,3146,1911,6585,2896,8989,6397,5601,4195,4147,3350,3865,3520,4012,3876,4216,4134,3774,4095,3861,4919,3985,5709,5090,6694,5788,8481,4334,6434,3111,4363,2824,4222,2539,4249,1884,2865
군자삼거리,127.07530488629999,37.55481108435,52,253,16,48,0,0,0,0,67,21,208,73,347,102,840,213,852,308,781,285,633,273,520,300,570,373,660,438,587,404,528,508,669,543,627,574,599,683,463,770,336,630,274,544,256,542,115,391
군자새마을금고.성동광진위센터,127.0713225073,37.5518512093,83,380,7,33,0,0,0,0,0,0,117,48,270,106,913,143,1007,246,720,261,461,331,458,304,553,443,545,477,578,546,630,687,633,737,594,778,603,883,424,1000,386,814,309,860,232,1038,92,851
군자새마을금고앞,127.0710877554,37.5513566499,3,8,0,0,0,0,0,0,166,162,371,206,658,334,1132,357,1096,805,1014,773,651,551,560,454,617,501,701,539,567,533,601,497,584,547,565,609,495,631,401,573,275,452,211,384,175,383,35,140
군자역,127.07919462320001,37.55648384653333,0,0,0,0,0,0,0,0,0,0,0,0,127,447,260,322,530,201,349,181,439,262,326,213,333,218,519,336,489,278,683,302,710,326,987,271,884,203,1193,150,715,102,685,109,422,57,0,0
군자역.용마초등학교,127.0820147865,37.55618436685,3449,1587,523,807,321,284,250,356,1248,632,2815,2397,2699,2068,5589,3047,9372,6185,5277,5283,4311,3893,4231,3947,4390,4329,4478,4780,4680,4708,4948,5656,6135,6985,6902,7428,7981,8386,6188,6498,4933,4414,5146,4176,4679,3819,3111,2424
기업은행.용마사거리,127.0814330674,37.5624460371,0,0,0,0,0,0,0,0,0,0,0,0,95,17,610,51,420,91,426,51,347,37,318,46,378,34,464,32,398,52,391,52,379,35,418,42,404,59,337,52,199,23,192,21,124,15,0,0
