시설명,경도,위도
중마초등학교.중곡제일골목시장앞,127.08084874425,37.5651057039
중앙상회앞,127.09488479685,37.56015839675
지영슈퍼,127.0922522082,37.551796613899995
청구아파트앞,127.09648770865,37.5428250793
테크노마트.광진문화원,127.0961011535,37.5370205329
테크노마트앞.강변역,127.0937790565,37.536884767100005
프라임아파트앞,127.0970323661,37.5378379672
한강호텔입구,127.10938372605,37.548364585650006
한전삼거리,127.0979921532,37.5453419526
한창주택,127.08912723345,37.5336649101
해오름공원입구,127.09124363215,37.55631908785
행운슈퍼앞,127.0870280636,37.53301002625
현대3.5차아파트,127.1003518538,37.5407790748
현대3차아파트,126.9922733469,37.5283815938
현대아파트앞,127.00483208112,37.5751262113
화양동현대아파트,127.0652401586,37.5439827587
화양사거리,127.0674785575,37.547612805233335
